Year,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST_PCT,AST_PER_TO,AST,OREB_PCT,DREB_PCT,REB_PCT,TOV_PCT,eFG_PCT,TS_PCT,PACE,PIE,POSS
2005,New York Knicks,82,33,49,3976,104.5,107.2,-2.7,55.9,1.38,15.9,31.6,68.6,49.8,15.8,48.5,53.1,92.12,47.5,"7,634"
2005,Orlando Magic,82,36,46,3941,103.4,105.7,-2.3,52.2,1.2,14.8,32.8,68.2,50.7,16.8,47.8,52.9,96.15,48.9,"7,891"
2005,Philadelphia 76ers,82,43,39,3971,101.8,102.5,-0.7,58,1.34,15.9,28.1,70.3,49.1,16,47.5,52.8,96.56,49.3,"7,985"
2005,Phoenix Suns,82,62,20,3956,112.7,105.7,7,57.5,1.71,17.4,30.4,65.6,49,14,53.4,57.1,97.35,54.6,"8,034"
2005,Portland Trail Blazers,82,27,55,3946,101.9,106.1,-4.3,59.5,1.32,16.6,33.1,65,49.6,17.5,48.4,52.4,91.05,47.5,"7,481"
2005,Sacramento Kings,82,50,32,3971,108.8,106.5,2.3,62.6,1.87,18.2,31.5,66.7,49.1,13.7,49.6,54.1,94.52,52.2,"7,819"
2005,San Antonio Spurs,82,59,23,3961,106.1,97.8,8.3,60.6,1.57,17.1,32.1,69.7,51,15.1,49.2,53.4,89.96,56.5,"7,435"
2005,Seattle SuperSonics,82,52,30,3951,110.3,108,2.3,51.6,1.34,14.7,35.7,68.1,51.7,15.1,49.5,54.6,89.24,50.4,"7,353"
2005,Toronto Raptors,82,33,49,3961,105.4,107.2,-1.8,56.6,1.54,16,26.9,68.2,47.3,14,49.2,53.9,94.01,47.9,"7,762"
2005,Utah Jazz,82,26,56,3956,102.9,107.3,-4.4,64.6,1.41,17.4,35.1,69.5,51.8,17.4,46.9,52.2,90.02,47.5,"7,409"
2005,Washington Wizards,82,45,37,3956,105.4,105.9,-0.4,52.7,1.33,14.6,33.8,66.7,49.7,15,47.4,52.3,94.8,48.5,"7,816"
2006,Atlanta Hawks,82,26,56,3976,104.8,110.1,-5.3,55.2,1.27,15.5,33.4,66.7,49.6,16.9,48.6,53.4,91.75,46.2,"7,607"
2006,Boston Celtics,82,33,49,3976,104,105.6,-1.5,58.1,1.26,16.4,28.9,69.4,49.7,17.6,50.4,55.1,93.27,48.5,"7,722"
2006,Charlotte Bobcats,82,26,56,3981,101.2,105.6,-4.4,58,1.47,15.9,30.5,67.8,47.9,14.9,46.4,50.9,94.57,46.3,"7,851"
2006,Chicago Bulls,82,41,41,3981,103.3,102.7,0.7,60.1,1.47,16.9,30.3,70.3,50.3,15.8,48.7,52.7,93.59,50.1,"7,762"
2006,Cleveland Cavaliers,82,50,32,3966,106.6,104.4,2.1,53.6,1.37,15.3,31.3,71.7,51.4,15.1,49.2,53.8,90.77,51,"7,510"
2006,Dallas Mavericks,82,60,22,3976,109.9,103.2,6.7,50,1.32,14.6,34.7,69,52.2,15,49.5,55,89.3,55.1,"7,397"
2006,Denver Nuggets,82,44,38,3986,104.4,104.1,0.3,62.4,1.58,17.6,30,68.2,49.4,15.4,48.8,53.5,94.9,51.2,"7,877"
2006,Detroit Pistons,82,64,18,3966,109.3,101.7,7.6,66.1,2.12,18.9,31.7,68,49.7,12.8,49.7,53.5,87.98,55.7,"7,268"
